vtkOriginalIndices,Concentration,ConcentrationLiquide,ConcentrationSolide,ConductiviteThermiqueP0,DensityFluideP0,DensityP0,DensityP1,EnthalpieVol,ErrReg,FractionLiq_c,FractionSolide_c,GradrholBis_P0:0,GradrholBis_P0:1,GradrholBis_P0:2,MassBalanceRHS_P0,PartitionE,Points:0,Points:1,Points:2,TemperatureC,ViscosityP0,Vitesse0,Vitesse1,Vitesse:2,__vtkIsSelected__,arc_length,d_interface_regular,divV_element,h_meshsize,h_quality,vtkValidPointMask
65,7.0073,2.39825,7.0073,70,2600,2800,2800,1.2344e+009,100,4.31004e-012,1,722007,-720028,0,0,1,0.0005,0.0091,0,474.769,0.001,-1.13122e-018,3.63363e-016,0,0,0.0091,0.0855604,8.95674e-014,0.000133698,0.809459,1
66,7.01696,0,7.01696,70,2600,2800,2800,1.23529e+009,100,1.34195e-016,1,0.0150899,-604.089,0,0,1,0.0005,0.00924,0,475.111,0.001,-1.60823e-018,3.6461e-016,0,0,0.00924,0.0854203,-7.09758e-014,0.000155135,0.920219,1
67,7.02882,0,7.02882,70,2600,2800,2800,1.23618e+009,100,8.56925e-017,1,0.0427247,-603.851,0,0,1,0.0005,0.00938,0,475.454,0.001,-2.71714e-018,3.68436e-016,0,0,0.00938,0.0852804,1.22573e-013,0.000160214,0.799084,1
68,7.00876,2.18296,7.00876,70,2600,2800,2800,1.23707e+009,100,8.41028e-013,1,135712,550588,0,0,1,0.0005,0.00952,0,475.796,0.001,-1.01758e-018,3.7471e-016,0,0,0.00952,0.0851404,3.10407e-014,0.000170761,0.762044,1
69,6.97971,6.12804,6.97971,70,2600,2800,2800,1.23796e+009,100,4.05266e-012,1,754353,389629,0,0,1,0.0005,0.00966,0,476.138,0.001,-1.54373e-019,3.80806e-016,0,0,0.00966,0.0850004,4.17049e-014,0.00016816,0.770033,1
70,6.96845,6.96845,6.96845,70,2600,2800,2800,1.23884e+009,100,7.93047e-012,1,-2071.95,-1146.53,0,0,1,0.0005,0.0098,0,476.48,0.001,-2.18193e-018,3.85569e-016,0,0,0.0098,0.0848604,-7.85405e-015,0.000163156,0.816431,1
71,7.02148,2.23931,7.02148,70,2600,2800,2800,1.23973e+009,100,3.4156e-012,1,-933281,-65394.6,0,0,1,0.0005,0.00994,0,476.821,0.001,2.18941e-018,3.89803e-016,0,0,0.00994,0.0847204,4.77102e-014,0.00015688,0.789208,1
72,7.01608,0,7.01608,70,2600,2800,2800,1.24062e+009,100,2.27144e-013,1,0.0429345,-602.461,0,0,1,0.0005,0.01008,0,477.163,0.001,5.36282e-020,3.94685e-016,0,0,0.01008,0.0845804,1.8215e-013,0.0001468,0.788461,1
73,7.0169,0,7.0169,70,2600,2800,2800,1.24151e+009,100,4.98258e-013,1,0.041217,-602.123,0,0,1,0.0005,0.01022,0,477.504,0.001,3.60556e-018,4.01044e-016,0,0,0.01022,0.0844404,6.6036e-014,0.000151141,0.910202,1
74,7.03222,0.55922,7.03222,70,2600,2800,2800,1.2424e+009,100,7.15152e-013,1,1.0605e+006,598532,0,0,1,0.0005,0.01036,0,477.845,0.001,-1.08158e-018,4.08694e-016,0,0,0.01036,0.0843004,4.58772e-014,0.000135286,0.808395,1
75,7.0083,3.80046,7.0083,70,2600,2800,2800,1.24328e+009,100,1.42826e-011,1,509060,613032,0,0,1,0.0005,0.0105,0,478.187,0.001,-1.98379e-018,4.13118e-016,0,0,0.0105,0.0841603,-3.16114e-014,0.000152165,0.964709,1
76,6.96495,6.40842,6.96495,70,2600,2800,2800,1.24417e+009,100,4.12657e-011,1,-761339,622133,0,0,1,0.0005,0.01064,0,478.528,0.001,-3.53773e-018,4.11773e-016,0,0,0.01064,0.0840204,2.405e-013,0.000142428,0.742368,1
77,7.02402,0.335902,7.02402,70,2600,2800,2800,1.24506e+009,100,8.39994e-014,1,-286106,612904,0,0,1,0.0005,0.01078,0,478.868,0.001,-1.34884e-017,4.33015e-016,0,0,0.01078,0.0838804,1.76296e-015,0.0001753,0.727035,1
78,7.00798,5.59131,7.00798,70,2600,2800,2800,1.24594e+009,100,1.39822e-012,1,-550335,25555.7,0,0,1,0.0005,0.01092,0,479.209,0.001,1.93094e-018,4.19451e-016,0,0,0.01092,0.0837403,2.38766e-014,0.000173894,0.732534,1
79,6.95738,6.20358,6.95738,70,2600,2800,2800,1.24683e+009,100,7.49713e-012,1,-676882,-456831,0,0,1,0.0005,0.01106,0,479.55,0.001,5.2171e-019,4.32902e-016,0,0,0.01106,0.0836003,1.60105e-013,0.000155558,0.911065,1
80,7.01172,2.08185,7.01172,70,2600,2800,2800,1.24771e+009,100,5.24586e-013,1,-640337,-300068,0,0,1,0.0005,0.0112,0,479.89,0.001,2.32717e-018,4.42889e-016,0,0,0.0112,0.0834604,-1.95399e-015,0.000166877,0.804853,1
81,6.99946,0.113248,6.99946,70,2600,2800,2800,1.2486e+009,100,2.84659e-014,1,999958,35650.1,0,0,1,0.0005,0.01134,0,480.23,0.001,3.76235e-018,4.40369e-016,0,0,0.01134,0.0833204,4.15083e-014,0.000149121,0.884349,1
82,7.02172,0.0285728,7.02172,70,2600,2800,2800,1.24948e+009,100,7.18725e-015,1,420478,-783167,0,0,1,0.0005,0.01148,0,480.57,0.001,8.47659e-020,4.45616e-016,0,0,0.01148,0.0831804,1.1303e-013,0.000138153,0.854695,1
83,6.98688,0,6.98688,70,2600,2800,2800,1.25036e+009,100,0,1,-0.0184597,-599.362,0,0,1,0.0005,0.01162,0,480.91,0.001,5.06456e-019,4.53793e-016,0,0,0.01162,0.0830403,2.28647e-014,0.00015438,0.934897,1
84,6.99226,0,6.99226,70,2600,2800,2800,1.25125e+009,100,0,1,0.011268,-599.116,0,0,1,0.0005,0.01176,0,481.249,0.001,1.80426e-019,4.55803e-016,0,0,0.01176,0.0829004,1.51339e-013,0.000161036,0.859583,1
85,6.98393,1.42756,6.98393,70,2600,2800,2800,1.25213e+009,100,6.83866e-012,1,-629079,413130,0,0,1,0.0005,0.0119,0,481.589,0.001,-1.66269e-018,4.67051e-016,0,0,0.0119,0.0827604,8.64883e-014,0.000146584,0.955698,1
86,6.98509,2.04913,6.98509,70,2600,2800,2800,1.25302e+009,100,9.81625e-012,1,-631337,-313151,0,0,1,0.0005,0.01204,0,481.928,0.001,-1.22912e-018,4.6956e-016,0,0,0.01204,0.0826203,8.20504e-014,0.000146926,0.961738,1
87,6.97741,2.93662,6.97741,70,2600,2800,2800,1.2539e+009,100,3.76e-012,1,-478469,372101,0,0,1,0.0005,0.01218,0,482.268,0.001,4.73641e-019,4.77874e-016,0,0,0.01218,0.0824803,9.8654e-014,0.00017501,0.724446,1
