vtkOriginalIndices,Concentration,ConcentrationLiquide,ConcentrationSolide,ConductiviteThermiqueP0,DensityFluideP0,DensityP0,DensityP1,EnthalpieVol,ErrReg,FractionLiq_c,FractionSolide_c,GradrholBis_P0:0,GradrholBis_P0:1,GradrholBis_P0:2,MassBalanceRHS_P0,PartitionE,Points:0,Points:1,Points:2,TemperatureC,ViscosityP0,Vitesse:0,Vitesse:1,Vitesse:2,__vtkIsSelected__,arc_length,d_interface_regular,divV_element,h_meshsize,h_quality,vtkValidPointMask
48,7.04869,4.93459,7.04869,70,2600,2800,2800,1.1094e+009,100,9.75998e-012,1,877981,251654,0,0,0,0.0005,0.00672,0,426.691,0.001,-8.78964e-015,-9.39519e-013,0,0,0.00672,0.0861183,-1.41941e-010,0.000152428,0.895903,1
49,7.07264,5.67643,7.07264,70,2600,2800,2800,1.11018e+009,100,1.37771e-012,1,263343,-543201,0,0,0,0.0005,0.00686,0,426.995,0.001,-1.84203e-014,-9.63414e-013,0,0,0.00686,0.0859784,-3.52309e-010,0.000162726,0.83662,1
50,7.04869,1.09703,7.04869,70,2600,2800,2800,1.11098e+009,100,1.90591e-012,1,665702,-226364,0,0,0,0.0005,0.007,0,427.299,0.001,-2.4731e-014,-9.91713e-013,0,0,0.007,0.0858383,-5.29968e-011,0.000165717,0.818542,1
51,7.04934,1.19533,7.04934,70,2600,2800,2800,1.11176e+009,100,2.332e-013,1,-664634,224930,0,0,0,0.0005,0.00714,0,427.603,0.001,-1.89965e-014,-1.00144e-012,0,0,0.00714,0.0856984,2.93e-011,0.00016712,0.801989,1
52,7.02009,4.24887,7.02009,70,2600,2800,2800,1.11255e+009,100,1.66104e-012,1,-853617,263770,0,0,0,0.0005,0.00728,0,427.907,0.001,-7.48518e-015,-9.98501e-013,0,0,0.00728,0.0855583,3.56325e-011,0.000164972,0.807309,1
53,7.06558,4.64985,7.06558,70,2600,2800,2800,1.11334e+009,100,2.86835e-012,1,-1.02202e+006,-372260,0,0,0,0.0005,0.00742,0,428.21,0.001,1.61297e-014,-1.00505e-012,0,0,0.00742,0.0854184,-1.199e-009,0.000130425,0.76908,1
54,7.04642,5.29662,7.04642,70,2600,2800,2800,1.11414e+009,100,4.33476e-012,1,29911.9,1.09038e+006,0,0,0,0.0005,0.00756,0,428.514,0.001,9.69567e-015,-1.09548e-012,0,0,0.00756,0.0852783,-5.60458e-010,0.00012545,0.709673,1
55,7.01744,6.14821,7.01744,70,2600,2800,2800,1.11492e+009,100,1.1436e-011,1,-550147,4700.03,0,0,0,0.0005,0.0077,0,428.817,0.001,-1.4547e-015,-1.08269e-012,0,0,0.0077,0.0851383,-5.28077e-011,0.000166873,0.779348,1
56,7.03363,4.02342,7.03363,70,2600,2800,2800,1.11571e+009,100,2.48695e-012,1,-746824,-444460,0,0,0,0.0005,0.00784,0,429.121,0.001,-1.15562e-014,-1.08982e-012,0,0,0.00784,0.0849983,-5.42682e-011,0.000131797,0.772972,1
57,7.05916,1.58177,7.05916,70,2600,2800,2800,1.1165e+009,100,5.11842e-012,1,-551161,628064,0,0,0,0.0005,0.00798,0,429.423,0.001,-3.48945e-015,-1.10267e-012,0,0,0.00798,0.0848584,-1.90271e-010,0.00013898,0.860255,1
