Temps	vA	vM
1905.5	0.00199432	0.00600568
1905.6	0.0019943	0.0060057
1905.7	0.00199433	0.00600567
1905.8	0.00199433	0.00600567
1905.9	0.0019943	0.0060057
1906	0.0019943	0.0060057
1906.1	0.00199432	0.00600568
1906.2	0.00199431	0.00600569
1906.3	0.00199427	0.00600573
1906.4	0.00199428	0.00600572
1906.5	0.0019943	0.0060057
1906.6	0.00199425	0.00600575
1906.7	0.00199423	0.00600577
1906.8	0.00199424	0.00600576
1906.9	0.00199423	0.00600577
1907	0.00199419	0.00600581
1907.1	0.00199417	0.00600583
1907.2	0.0019942	0.0060058
1907.3	0.00199418	0.00600582
1907.4	0.00199414	0.00600586
1907.5	0.00199415	0.00600585
1907.6	0.00199416	0.00600584
1907.7	0.00199413	0.00600587
1907.8	0.0019941	0.0060059
1907.9	0.00199412	0.00600588
1908	0.00199412	0.00600588
1908.1	0.00199408	0.00600592
1908.2	0.00199408	0.00600592
1908.3	0.0019941	0.0060059
1908.4	0.00199408	0.00600592
1908.5	0.00199405	0.00600595
1908.6	0.00199406	0.00600594
1908.7	0.00199407	0.00600593
1908.8	0.00199405	0.00600595
1908.9	0.00199403	0.00600597
1909	0.00199406	0.00600594
1909.1	0.00199405	0.00600595
1909.2	0.00199402	0.00600598
1909.3	0.00199401	0.00600599
1909.4	0.00199403	0.00600597
1909.5	0.00199402	0.00600598
1909.6	0.00199399	0.00600601
1909.7	0.00199401	0.00600599
1909.8	0.00199401	0.00600599
1909.9	0.00199397	0.00600603
1910	0.00199396	0.00600604
1910.1	0.00199398	0.00600602
1910.2	0.00199397	0.00600603
1910.3	0.00199393	0.00600607
1910.4	0.00199394	0.00600606
1910.5	0.00199396	0.00600604
1910.6	0.00199393	0.00600607
1910.7	0.00199391	0.00600609
1910.8	0.00199393	0.00600607
1910.9	0.00199393	0.00600607
1911	0.00199389	0.00600611
1911.1	0.00199387	0.00600613
1911.2	0.0019939	0.0060061
1911.3	0.00199388	0.00600612
1911.4	0.00199383	0.00600617
1911.5	0.00199385	0.00600615
1911.6	0.00199387	0.00600613
1911.7	0.00199383	0.00600617
1911.8	0.0019938	0.0060062
1911.9	0.00199382	0.00600618
1912	0.00199382	0.00600618
1912.1	0.00199377	0.00600623
1912.2	0.00199375	0.00600625
1912.3	0.00199377	0.00600623
1912.4	0.00199374	0.00600626
1912.5	0.0019937	0.0060063
1912.6	0.00199371	0.00600629
1912.7	0.00199372	0.00600628
1912.8	0.00199369	0.00600631
1912.9	0.00199365	0.00600635
1913	0.00199369	0.00600631
1913.1	0.00199368	0.00600632
1913.2	0.00199363	0.00600637
1913.3	0.00199364	0.00600636
1913.4	0.00199366	0.00600634
1913.5	0.00199363	0.00600637
1913.6	0.00199359	0.00600641
1913.7	0.00199361	0.00600639
1913.8	0.00199363	0.00600637
1913.9	0.00199358	0.00600642
1914	0.00199357	0.00600643
1914.1	0.0019936	0.0060064
1914.2	0.00199359	0.00600641
1914.3	0.00199355	0.00600645
1914.4	0.00199355	0.00600645
1914.5	0.00199358	0.00600642
1914.6	0.00199355	0.00600645
1914.7	0.00199352	0.00600648
1914.8	0.00199355	0.00600645
1914.9	0.00199355	0.00600645
1915	0.00199352	0.00600648
1915.1	0.00199349	0.00600651
1915.2	0.00199351	0.00600649
1915.3	0.0019935	0.0060065
1915.4	0.00199344	0.00600656
1915.5	0.00199344	0.00600656
1915.6	0.00199347	0.00600653
1915.7	0.00199343	0.00600657
1915.8	0.0019934	0.0060066
1915.9	0.00199342	0.00600658
1916	0.00199343	0.00600657
1916.1	0.00199339	0.00600661
1916.2	0.00199338	0.00600662
1916.3	0.00199341	0.00600659
1916.4	0.0019934	0.0060066
1916.5	0.00199336	0.00600664
1916.6	0.00199337	0.00600663
1916.7	0.00199338	0.00600662
1916.8	0.00199336	0.00600664
1916.9	0.00199333	0.00600667
1917	0.00199335	0.00600665
1917.1	0.00199336	0.00600664
1917.2	0.00199331	0.00600669
1917.3	0.00199332	0.00600668
1917.4	0.00199334	0.00600666
1917.5	0.00199333	0.00600667
1917.6	0.00199329	0.00600671
1917.7	0.0019933	0.0060067
1917.8	0.00199333	0.00600667
1917.9	0.0019933	0.0060067
1918	0.00199327	0.00600673
1918.1	0.0019933	0.0060067
1918.2	0.00199331	0.00600669
1918.3	0.00199327	0.00600673
1918.4	0.00199327	0.00600673
1918.5	0.0019933	0.0060067
1918.6	0.00199328	0.00600672
1918.7	0.00199324	0.00600676
1918.8	0.00199327	0.00600673
1918.9	0.00199328	0.00600672
1919	0.00199324	0.00600676
1919.1	0.00199321	0.00600679
1919.2	0.00199323	0.00600677
1919.3	0.00199324	0.00600676
1919.4	0.0019932	0.0060068
1919.5	0.0019932	0.0060068
1919.6	0.00199323	0.00600677
1919.7	0.0019932	0.0060068
1919.8	0.00199317	0.00600683
1919.9	0.00199319	0.00600681
1920	0.00199321	0.00600679
1920.1	0.00199318	0.00600682
1920.2	0.00199316	0.00600684
1920.3	0.0019932	0.0060068
1920.4	0.0019932	0.0060068
1920.5	0.00199315	0.00600685
1920.6	0.00199317	0.00600683
1920.7	0.0019932	0.0060068
1920.8	0.00199318	0.00600682
1920.9	0.00199312	0.00600688
1921	0.00199315	0.00600685
1921.1	0.00199317	0.00600683
1921.2	0.00199311	0.00600689
1921.3	0.0019931	0.0060069
1921.4	0.00199314	0.00600686
1921.5	0.00199313	0.00600687
1921.6	0.00199308	0.00600692
1921.7	0.00199309	0.00600691
1921.8	0.00199313	0.00600687
1921.9	0.00199309	0.00600691
1922	0.00199305	0.00600695
1922.1	0.00199309	0.00600691
1922.2	0.00199309	0.00600691
1922.3	0.00199303	0.00600697
1922.4	0.00199301	0.00600699
1922.5	0.00199304	0.00600696
1922.6	0.00199302	0.00600698
1922.7	0.00199297	0.00600703
1922.8	0.00199297	0.00600703
1922.9	0.001993	0.006007
1923	0.00199295	0.00600705
1923.1	0.00199292	0.00600708
1923.2	0.00199295	0.00600705
1923.3	0.00199294	0.00600706
1923.4	0.0019929	0.0060071
1923.5	0.00199289	0.00600711
1923.6	0.00199292	0.00600708
1923.7	0.0019929	0.0060071
1923.8	0.00199286	0.00600714
1923.9	0.00199289	0.00600711
1924	0.00199291	0.00600709
1924.1	0.00199287	0.00600713
1924.2	0.00199285	0.00600715
1924.3	0.00199287	0.00600713
1924.4	0.00199287	0.00600713
1924.5	0.00199283	0.00600717
1924.6	0.00199283	0.00600717
