Temps	vA	vM	mMpct	msoluteM_pct
1873.1	0.00199692	0.00600308	0.051659775	0.055420257
1873.2	0.00199691	0.00600309	0.051893529	0.055420257
1873.3	0.00199691	0.00600309	0.051893529	0.055420257
1873.4	0.00199691	0.00600309	0.051659775	0.055420257
1873.5	0.0019969	0.0060031	0.051893529	0.055420257
1873.6	0.00199689	0.00600311	0.051893529	0.055420257
1873.7	0.00199689	0.00600311	0.052127284	0.055420257
1873.8	0.00199688	0.00600312	0.052127284	0.056200824
1873.9	0.00199686	0.00600314	0.052594793	0.056200824
1874	0.00199684	0.00600316	0.052828548	0.056200824
1874.1	0.00199683	0.00600317	0.053062303	0.056981391
1874.2	0.0019968	0.0060032	0.053529812	0.056981391
1874.3	0.00199678	0.00600322	0.053997321	0.057761958
1874.4	0.00199677	0.00600323	0.053997321	0.057761958
1874.5	0.00199676	0.00600324	0.054231076	0.057761958
1874.6	0.00199674	0.00600326	0.05446483	0.057761958
1874.7	0.00199673	0.00600327	0.054698585	0.058542525
1874.8	0.00199672	0.00600328	0.05493234	0.058542525
1874.9	0.00199672	0.00600328	0.05493234	0.058542525
1875	0.0019967	0.0060033	0.055166094	0.058542525
1875.1	0.0019967	0.0060033	0.055166094	0.058542525
1875.2	0.0019967	0.0060033	0.055166094	0.058542525
1875.3	0.00199669	0.00600331	0.055399849	0.059323092
1875.4	0.00199669	0.00600331	0.055399849	0.059323092
1875.5	0.00199669	0.00600331	0.055399849	0.059323092
1875.6	0.00199669	0.00600331	0.055399849	0.059323092
1875.7	0.00199667	0.00600333	0.055867358	0.059323092
1875.8	0.00199665	0.00600335	0.056101113	0.059323092
1875.9	0.00199666	0.00600334	0.055867358	0.059323092
1876	0.00199664	0.00600336	0.056101113	0.060103659
1876.1	0.00199663	0.00600337	0.056334868	0.060103659
1876.2	0.00199663	0.00600337	0.056334868	0.060103659
1876.3	0.00199662	0.00600338	0.056568622	0.060103659
1876.4	0.00199661	0.00600339	0.056802377	0.060103659
1876.5	0.0019966	0.0060034	0.057036131	0.060884226
1876.6	0.0019966	0.0060034	0.056802377	0.060884226
1876.7	0.00199659	0.00600341	0.057036131	0.060884226
1876.8	0.00199658	0.00600342	0.057269886	0.060884226
1876.9	0.00199658	0.00600342	0.057269886	0.060884226
1877	0.00199657	0.00600343	0.057269886	0.060884226
1877.1	0.00199655	0.00600345	0.057737395	0.061664793
1877.2	0.00199654	0.00600346	0.05797115	0.061664793
1877.3	0.00199654	0.00600346	0.05797115	0.061664793
1877.4	0.00199654	0.00600346	0.05797115	0.061664793
1877.5	0.00199651	0.00600349	0.058438659	0.06244536
1877.6	0.0019965	0.0060035	0.058672414	0.06244536
1877.7	0.0019965	0.0060035	0.058672414	0.06244536
1877.8	0.00199648	0.00600352	0.058906169	0.06244536
1877.9	0.00199645	0.00600355	0.059373678	0.063225927
1878	0.00199645	0.00600355	0.059373678	0.063225927
1878.1	0.00199644	0.00600356	0.059607432	0.063225927
1878.2	0.00199642	0.00600358	0.060074942	0.063225927
1878.3	0.0019964	0.0060036	0.060308696	0.064006494
1878.4	0.0019964	0.0060036	0.060308696	0.064006494
1878.5	0.00199639	0.00600361	0.060542451	0.064006494
1878.6	0.00199636	0.00600364	0.06100996	0.064787061
1878.7	0.00199635	0.00600365	0.06100996	0.064787061
1878.8	0.00199635	0.00600365	0.061243715	0.064787061
1878.9	0.00199634	0.00600366	0.061243715	0.064787061
1879	0.00199633	0.00600367	0.06147747	0.064787061
1879.1	0.00199632	0.00600368	0.06147747	0.065567628
1879.2	0.00199633	0.00600367	0.06147747	0.064787061
1879.3	0.00199631	0.00600369	0.061711224	0.065567628
1879.4	0.0019963	0.0060037	0.061944979	0.065567628
1879.5	0.0019963	0.0060037	0.061944979	0.065567628
1879.6	0.00199629	0.00600371	0.062178733	0.065567628
1879.7	0.00199627	0.00600373	0.062412488	0.066348195
1879.8	0.00199626	0.00600374	0.062646243	0.066348195
1879.9	0.00199626	0.00600374	0.062646243	0.066348195
1880	0.00199625	0.00600375	0.062879997	0.066348195
1880.1	0.00199623	0.00600377	0.063113752	0.067128762
1880.2	0.00199624	0.00600376	0.062879997	0.067128762
1880.3	0.00199623	0.00600377	0.063113752	0.066348195
1880.4	0.00199621	0.00600379	0.063347507	0.067128762
1880.5	0.0019962	0.0060038	0.063581261	0.067128762
1880.6	0.0019962	0.0060038	0.063581261	0.067128762
1880.7	0.00199619	0.00600381	0.063815016	0.067128762
1880.8	0.00199617	0.00600383	0.064048771	0.067909329
1880.9	0.00199616	0.00600384	0.064282525	0.067909329
