Compteur	Temps	TemperatureC	EnthalpieVol	dHsurdT	Concentration_carbon	Concentration_chromium	ConcentrationLiquide_carbon	ConcentrationLiquide_chromium	FractionLiq	FractionBCC	FractionFCC	FractionM7C3	FractionCementite	CodeConvergence	
2700	270	1384.05	8.07885e+09	5.38269e+06	2	30	2	30	1	0	0	0	0	2	
2710	271	1383.99	8.07853e+09	5.38269e+06	2	30	2	30	1	0	0	0	0	2	
2720	272	1383.93	8.0782e+09	5.38269e+06	2	30	2	30	1	0	0	0	0	2	
2730	273	1383.87	8.07788e+09	5.38269e+06	2	30	2	30	1	0	0	0	0	2	
2740	274	1383.81	8.07755e+09	5.38269e+06	2	30	2	30	1	0	0	0	0	2	
2750	275	1383.75	8.07723e+09	5.38269e+06	2	30	2	30	1	0	0	0	0	2	
2760	276	1383.69	8.0769e+09	5.38269e+06	2	30	2	30	1	0	0	0	0	2	
2770	277	1383.63	8.07658e+09	5.38269e+06	2	30	2	30	1	0	0	0	0	2	
2780	278	1383.57	8.07625e+09	5.38269e+06	2	30	2	30	1	0	0	0	0	2	
2790	279	1383.51	8.07592e+09	5.38269e+06	2	30	2	30	1	0	0	0	0	2	
2800	280	1383.45	8.0756e+09	5.38269e+06	2	30	2	30	1	0	0	0	0	2	
2810	281	1383.38	8.07527e+09	5.38269e+06	2	30	2	30	1	0	0	0	0	2	
2820	282	1383.32	8.07494e+09	5.38269e+06	2	30	2	30	1	0	0	0	0	2	
2830	283	1383.26	8.07461e+09	5.38269e+06	2	30	2	30	1	0	0	0	0	2	
2840	284	1383.2	8.07428e+09	5.38269e+06	2	30	2	30	1	0	0	0	0	2	
2850	285	1383.14	8.07395e+09	5.38269e+06	2	30	2	30	1	0	0	0	0	2	
2860	286	1383.08	8.07362e+09	5.38269e+06	2	30	2	30	1	0	0	0	0	2	
2870	287	1383.02	8.07329e+09	5.38269e+06	2	30	2	30	1	0	0	0	0	2	
2880	288	1382.96	8.07296e+09	5.38269e+06	2	30	2	30	1	0	0	0	0	2	
