pos1	pos2	pos3	pos4	pos5	pos6
0.709788	1	1	1	1	1	
0.709075	1	1	1	1	1	
0.708361	1	1	1	1	1	
0.707645	1	1	1	1	1	
0.706934	1	1	1	1	1	
0.70623	1	1	1	1	1	
0.705527	1	1	1	1	1	
0.704825	1	1	1	1	1	
0.704123	1	1	1	1	1	
0.703422	1	1	1	1	1	
0.702722	1	1	1	1	1	
0.702027	1	1	1	1	1	
0.701336	1	1	1	1	1	
0.700652	1	1	1	1	1	
0.699969	1	1	1	1	1	
0.69929	1	1	1	1	1	
0.698618	1	1	1	1	1	
0.697953	1	1	1	1	1	
0.697295	1	1	1	1	1	
0.696644	1	1	1	1	1	
0.695997	1	1	1	1	1	
0.695356	1	1	1	1	1	
0.694718	1	1	1	1	1	
0.694086	1	1	1	1	1	
0.693466	1	1	1	1	1	
0.69285	1	1	1	1	1	
0.692238	1	1	1	1	1	
0.691628	1	1	1	1	1	
0.691021	1	1	1	1	1	
0.690415	1	1	1	1	1	
0.68981	1	1	1	1	1	
0.689205	1	1	1	1	1	
0.688602	1	1	1	1	1	
0.687998	1	1	1	1	1	
0.687391	1	1	1	1	1	
0.686779	1	1	1	1	1	
0.686168	1	1	1	1	1	
0.685557	1	1	1	1	1	
0.684946	1	1	1	1	1	
0.684336	1	1	1	1	1	
0.683726	1	1	1	1	1	
0.683116	1	1	1	1	1	
0.682505	1	1	1	1	1	
0.681893	1	1	1	1	1	
0.681288	1	1	1	1	1	
0.680688	1	1	1	1	1	
0.680088	1	1	1	1	1	
0.67949	1	1	1	1	1	
0.678891	1	1	1	1	1	
0.678292	1	1	1	1	1	
0.677692	1	1	1	1	1	
0.677091	1	1	1	1	1	
0.67649	1	1	1	1	1	
0.675888	1	1	1	1	1	
0.675282	1	1	1	1	1	
0.67467	1	1	1	1	1	
0.674057	1	1	1	1	1	
0.673444	1	1	1	1	1	
0.67283	1	1	1	1	1	
0.672217	1	1	1	1	1	
0.671603	1	1	1	1	1	
0.670989	1	1	1	1	1	
0.670373	1	1	1	1	1	
0.669756	1	1	1	1	1	
0.669146	1	1	1	1	1	
0.66854	1	1	1	1	1	
0.667935	1	1	1	1	1	
0.667331	1	1	1	1	1	
0.666727	1	1	1	1	1	
0.666124	1	1	1	1	1	
0.665522	1	1	1	1	1	
0.664922	1	1	1	1	1	
0.664325	1	1	1	1	1	
0.663732	1	1	1	1	1	
0.663135	1	1	1	1	1	
0.662541	1	1	1	1	1	
0.661952	1	1	1	1	1	
0.661366	1	1	1	1	1	
0.660785	1	1	1	1	1	
0.660208	1	1	1	1	1	
0.659635	1	1	1	1	1	
0.659065	1	1	1	1	1	
0.658497	1	1	1	1	1	
0.657931	1	1	1	1	1	
0.657376	1	1	1	1	1	
0.656827	1	1	1	1	1	
0.656281	1	1	1	1	1	
0.655738	1	1	1	1	1	
0.655196	1	1	1	1	1	
0.654657	1	1	1	1	1	
0.654118	1	1	1	1	1	
0.653581	1	1	1	1	1	
0.653044	1	1	1	1	1	
0.652508	1	1	1	1	1	
0.651971	1	1	1	1	1	
0.65143	1	1	1	1	1	
0.650888	1	1	1	1	1	
