pos1	pos2	pos3	pos4	pos5	pos6
0.846405	1	1	1	1	1	
0.845412	1	1	1	1	1	
0.844457	1	1	1	1	1	
0.843524	1	1	1	1	1	
0.842603	1	1	1	1	1	
0.841687	1	1	1	1	1	
0.840773	1	1	1	1	1	
0.839858	1	1	1	1	1	
0.83894	1	1	1	1	1	
0.838018	1	1	1	1	1	
0.83708	1	1	1	1	1	
0.836133	1	1	1	1	1	
0.835181	1	1	1	1	1	
0.834226	1	1	1	1	1	
0.833268	1	1	1	1	1	
0.832306	1	1	1	1	1	
0.831341	1	1	1	1	1	
0.830371	1	1	1	1	1	
0.829409	1	1	1	1	1	
0.828448	1	1	1	1	1	
0.827485	1	1	1	1	1	
0.826518	1	1	1	1	1	
0.825548	1	1	1	1	1	
0.824574	1	1	1	1	1	
0.823598	1	1	1	1	1	
0.822618	1	1	1	1	1	
0.821636	1	1	1	1	1	
0.82065	1	1	1	1	1	
0.819653	1	1	1	1	1	
0.818644	1	1	1	1	1	
0.817633	1	1	1	1	1	
0.816621	1	1	1	1	1	
0.815607	1	1	1	1	1	
0.814592	1	1	1	1	1	
0.813575	1	1	1	1	1	
0.812556	1	1	1	1	1	
0.811547	1	1	1	1	1	
0.81054	1	1	1	1	1	
0.809532	1	1	1	1	1	
0.808523	1	1	1	1	1	
0.807512	1	1	1	1	1	
0.806499	1	1	1	1	1	
0.805484	1	1	1	1	1	
0.804468	1	1	1	1	1	
0.80345	1	1	1	1	1	
0.802417	1	1	1	1	1	
0.801378	1	1	1	1	1	
0.800338	1	1	1	1	1	
0.799299	1	1	1	1	1	
0.798258	1	1	1	1	1	
0.797217	1	1	1	1	1	
0.796171	1	1	1	1	1	
0.79513	1	1	1	1	1	
0.794094	1	1	1	1	1	
0.793072	1	1	1	1	1	
0.792081	1	1	1	1	1	
0.791125	1	1	1	1	1	
0.790204	1	1	1	1	1	
0.789312	1	1	1	1	1	
0.788446	1	1	1	1	1	
0.787598	1	1	1	1	1	
0.786765	1	1	1	1	1	
0.78593	1	1	1	1	1	
0.785102	1	1	1	1	1	
0.784281	1	1	1	1	1	
0.783466	1	1	1	1	1	
0.782654	1	1	1	1	1	
0.781845	1	1	1	1	1	
0.781038	1	1	1	1	1	
0.780231	1	1	1	1	1	
0.779429	1	1	1	1	1	
0.778635	1	1	1	1	1	
0.777843	1	1	1	1	1	
0.777051	1	1	1	1	1	
0.776258	1	1	1	1	1	
0.775465	1	1	1	1	1	
0.774669	1	1	1	1	1	
0.77387	1	1	1	1	1	
0.773069	1	1	1	1	1	
0.772265	1	1	1	1	1	
0.771459	1	1	1	1	1	
0.770644	1	1	1	1	1	
0.769821	1	1	1	1	1	
0.768995	1	1	1	1	1	
0.768169	1	1	1	1	1	
0.767342	1	1	1	1	1	
0.766514	1	1	1	1	1	
0.765685	1	1	1	1	1	
0.764855	1	1	1	1	1	
0.764025	1	1	1	1	1	
0.763205	1	1	1	1	1	
0.762388	1	1	1	1	1	
0.76157	1	1	1	1	1	
0.760751	1	1	1	1	1	
0.759931	1	1	1	1	1	
0.759109	1	1	1	1	1	
0.758285	1	1	1	1	1	
0.757458	1	1	1	1	1	
0.75663	1	1	1	1	1	
0.755797	1	1	1	1	1	
0.754953	1	1	1	1	1	
0.754106	1	1	1	1	1	
0.753259	1	1	1	1	1	
0.752412	1	1	1	1	1	
0.751565	1	1	1	1	1	
0.750718	1	1	1	1	1	
0.749869	1	1	1	1	1	
0.74902	1	1	1	1	1	
0.748183	1	1	1	1	1	
0.747348	1	1	1	1	1	
0.746512	1	1	1	1	1	
0.745675	1	1	1	1	1	
0.744841	1	1	1	1	1	
0.744016	1	1	1	1	1	
0.743204	1	1	1	1	1	
0.742405	1	1	1	1	1	
0.741622	1	1	1	1	1	
0.740846	1	1	1	1	1	
0.740078	1	1	1	1	1	
0.739321	1	1	1	1	1	
0.738575	1	1	1	1	1	
0.737838	1	1	1	1	1	
0.737109	1	1	1	1	1	
0.736386	1	1	1	1	1	
0.735669	1	1	1	1	1	
0.734955	1	1	1	1	1	
0.734252	1	1	1	1	1	
0.733557	1	1	1	1	1	
0.732866	1	1	1	1	1	
0.732178	1	1	1	1	1	
0.731491	1	1	1	1	1	
0.730805	1	1	1	1	1	
0.73012	1	1	1	1	1	
0.729435	1	1	1	1	1	
0.728749	1	1	1	1	1	
0.728063	1	1	1	1	1	
0.727376	1	1	1	1	1	
0.72668	1	1	1	1	1	
0.725981	1	1	1	1	1	
0.725281	1	1	1	1	1	
0.72458	1	1	1	1	1	
0.72388	1	1	1	1	1	
0.723179	1	1	1	1	1	
0.722478	1	1	1	1	1	
0.721776	1	1	1	1	1	
0.721073	1	1	1	1	1	
0.720375	1	1	1	1	1	
0.719683	1	1	1	1	1	
0.718992	1	1	1	1	1	
0.718301	1	1	1	1	1	
0.71761	1	1	1	1	1	
0.716918	1	1	1	1	1	
0.716225	1	1	1	1	1	
0.715531	1	1	1	1	1	
0.714835	1	1	1	1	1	
0.714138	1	1	1	1	1	
0.713437	1	1	1	1	1	
0.712726	1	1	1	1	1	
0.712015	1	1	1	1	1	
0.711303	1	1	1	1	1	
0.710591	1	1	1	1	1	
0.709878	1	1	1	1	1	
0.709165	1	1	1	1	1	
0.708452	1	1	1	1	1	
0.707737	1	1	1	1	1	
0.707025	1	1	1	1	1	
0.706321	1	1	1	1	1	
0.705619	1	1	1	1	1	
0.704917	1	1	1	1	1	
0.704214	1	1	1	1	1	
0.70351	1	1	1	1	1	
0.702808	1	1	1	1	1	
0.702109	1	1	1	1	1	
0.701415	1	1	1	1	1	
0.700727	1	1	1	1	1	
0.70004	1	1	1	1	1	
0.699357	1	1	1	1	1	
0.698682	1	1	1	1	1	
0.698014	1	1	1	1	1	
0.697354	1	1	1	1	1	
0.6967	1	1	1	1	1	
0.696052	1	1	1	1	1	
0.695409	1	1	1	1	1	
0.69477	1	1	1	1	1	
0.694137	1	1	1	1	1	
0.693516	1	1	1	1	1	
0.6929	1	1	1	1	1	
0.692287	1	1	1	1	1	
0.691678	1	1	1	1	1	
0.691071	1	1	1	1	1	
0.690465	1	1	1	1	1	
0.68986	1	1	1	1	1	
0.689256	1	1	1	1	1	
0.688653	1	1	1	1	1	
0.688051	1	1	1	1	1	
0.687444	1	1	1	1	1	
0.686833	1	1	1	1	1	
0.686222	1	1	1	1	1	
0.685612	1	1	1	1	1	
0.685002	1	1	1	1	1	
0.684392	1	1	1	1	1	
0.683783	1	1	1	1	1	
0.683174	1	1	1	1	1	
0.682564	1	1	1	1	1	
0.681953	1	1	1	1	1	
0.681348	1	1	1	1	1	
0.680749	1	1	1	1	1	
0.68015	1	1	1	1	1	
0.679552	1	1	1	1	1	
0.678954	1	1	1	1	1	
0.678355	1	1	1	1	1	
0.677756	1	1	1	1	1	
0.677156	1	1	1	1	1	
0.676555	1	1	1	1	1	
0.675954	1	1	1	1	1	
0.675349	1	1	1	1	1	
0.674738	1	1	1	1	1	
0.674125	1	1	1	1	1	
0.673512	1	1	1	1	1	
0.672899	1	1	1	1	1	
0.672286	1	1	1	1	1	
0.671673	1	1	1	1	1	
0.671059	1	1	1	1	1	
0.670444	1	1	1	1	1	
0.669827	1	1	1	1	1	
0.669217	1	1	1	1	1	
0.668612	1	1	1	1	1	
0.668007	1	1	1	1	1	
0.667402	1	1	1	1	1	
0.666798	1	1	1	1	1	
